,Atendimento,Grupo,Cidade,Indice,Saude,Educacao,Saneamento,Receita
0,0.6332,4,Cachoeira da Prata,0.656,0.687,0.797,0.964,0.198
1,0.6588,4,Lobato,0.646,0.575,0.955,0.925,0.234
2,0.575,4,Bom Jesus do Norte,0.64,0.61,0.762,0.875,0.131
3,0.8326,4,guas de So Pedro,0.633,0.974,0.869,0.991,0.477
4,0.5108,4,Cataguases,0.633,0.554,0.686,0.921,0.074
5,0.5742,4,Cedro de So Joo,0.626,0.607,0.77,0.742,0.117
6,0.5568,4,Bom Jesus do Itabapoana,0.626,0.528,0.802,0.857,0.124
7,0.5872,4,Volta Redonda,0.624,0.695,0.676,0.982,0.194
8,0.532,4,Fernandpolis,0.624,0.459,0.81,0.963,0.122
9,0.5842,4,Itapu,0.623,0.584,0.79,0.904,0.173
10,0.584,4,Barro Preto,0.622,0.636,0.758,0.732,0.132
11,0.6612,4,Ipena,0.62,0.798,0.723,0.873,0.264
12,0.5422,4,Votuporanga,0.62,0.529,0.756,0.971,0.141
13,0.531,4,Arax,0.619,0.462,0.801,0.97,0.129
14,0.5742,4,Siderpolis,0.619,0.679,0.697,0.711,0.119
15,0.7432,4,Rio das Flores,0.618,0.846,0.84,0.78,0.344
16,0.5168,4,So Loureno,0.618,0.491,0.743,0.98,0.116
17,0.5118,4,Nazar da Mata,0.616,0.508,0.738,0.797,0.067
18,0.5548,4,Paraba do Sul,0.613,0.63,0.686,0.868,0.142
19,0.5488,4,So Jos da Lapa,0.612,0.633,0.671,0.868,0.136
20,0.586,4,Salinas da Margarida,0.61,0.508,0.892,0.648,0.13
21,0.5234,4,Jardim do Serid,0.61,0.528,0.741,0.753,0.079
22,0.5516,4,Urnia,0.609,0.553,0.756,0.85,0.14
23,0.6566,4,Comendador Levy Gasparian,0.608,0.753,0.748,0.894,0.281
24,0.5794,4,So Ludgero,0.607,0.54,0.825,0.816,0.167
25,0.5988,4,Altaneira,0.607,0.586,0.841,0.605,0.14
26,0.6142,4,Jaborandi,0.606,0.672,0.745,0.917,0.237
27,0.603,4,Pracinha,0.606,0.581,0.816,0.908,0.221
28,0.5276,4,Votorantim,0.606,0.58,0.667,0.971,0.144
29,0.4928,4,Santa Cruz,0.606,0.667,0.533,0.825,0.064
30,0.5718,4,Descoberto,0.605,0.584,0.763,0.831,0.165
31,0.5488,4,Riachuelo,0.605,0.572,0.745,0.723,0.11
32,0.5222,4,Cajuru,0.604,0.693,0.551,0.903,0.123
33,0.547,4,So Bento Abade,0.603,0.57,0.718,0.92,0.159
34,0.5886,4,Agudos,0.602,0.617,0.744,0.953,0.221
35,0.5398,4,Bady Bassitt,0.6,0.522,0.748,0.942,0.159
36,0.5396,4,Regente Feij,0.6,0.532,0.739,0.924,0.156
37,0.5854,4,Iracema,0.599,0.569,0.83,0.584,0.129
38,0.4896,4,Guarabira,0.598,0.569,0.619,0.831,0.072
39,0.6402,4,Vitria,0.597,0.591,0.859,0.986,0.301
40,0.606,4,Lucrcia,0.597,0.554,0.857,0.782,0.208
41,0.5958,4,Floresta,0.597,0.62,0.792,0.623,0.155
42,0.5176,4,Tagua,0.597,0.513,0.716,0.914,0.13
43,0.6406,4,Iguaba Grande,0.596,0.791,0.693,0.714,0.235
44,0.5608,4,Alexandria,0.596,0.671,0.671,0.657,0.12
45,0.594,4,Tarum,0.595,0.604,0.763,0.947,0.236
46,0.5226,4,Pedro Leopoldo,0.595,0.621,0.625,0.843,0.121
47,0.5642,4,Lus Gomes,0.595,0.548,0.817,0.517,0.091
48,0.5442,4,Brao do Norte,0.595,0.522,0.787,0.662,0.103
49,0.5086,4,Monte Santo de Minas,0.595,0.557,0.667,0.806,0.095
50,0.5264,4,Piraju,0.594,0.474,0.77,0.913,0.144
51,0.5036,4,Araatuba,0.594,0.413,0.78,0.978,0.132
52,0.5602,4,Lagoa Santa,0.594,0.572,0.752,0.775,0.153
53,0.5542,4,Campo do Brito,0.594,0.547,0.79,0.584,0.097
54,0.613,4,Luzerna,0.593,0.549,0.885,0.682,0.197
55,0.5018,4,Pirapozinho,0.593,0.518,0.676,0.937,0.121
56,0.5372,4,Florestal,0.593,0.685,0.592,0.802,0.132
57,0.5312,4,Marlia,0.593,0.445,0.799,0.972,0.168
58,0.5324,4,Ors,0.593,0.542,0.745,0.654,0.088
59,0.551,4,Cordeiro,0.592,0.575,0.715,0.899,0.175
60,0.5792,4,Macau,0.592,0.576,0.776,0.824,0.192
61,0.5248,4,Dourado,0.592,0.587,0.649,0.94,0.152
